Rank,Country,Airline,'19,'18,'17,'16,'15,'14,'13,'12,'11,'10,'09,'08,'07,'06,Fleet,Destinations,Sources,Alliance,Association
1,Germany,Lufthansa,17.99,142.3,130.04,117.4,115.2,112.5,110.4,108.9,112,95.1,81.2,76.4,68.8,59.1,728,321,[1][2],Star Alliance,A4E
2,Ireland,Ryanair,19.9,139.2,128.77,116.8,101.4,86.4,81.4,79.6,76.4,72.7,65.3,57.7,49,40.5,430,186,[3] [4],,A4E
3,United Kingdom,International Airlines Group,15.22,112.92,104.83,100.7,94.9,77.3,67.2,54.6,51.7,50.6,53.3,59.8,61.7,63.2,520,248,[5],oneworld,A4E
4,France,Air France,14.39,101.45,98.72,93.4,89.8,87.4,78.4,77.5,75.8,70.8,71.4,73.8,74.8,73.5,574,231,[6][7],SkyTeam,A4E
5,United Kingdom,Easyjet,,88.04,81.63,74.5,69.9,65.3,61.4,59.2,55.5,49.7,46.1,44.6,38.2,33,300,136,[8],,A4E
6,Turkey,Turkish Airlines,10.8,75.16,68.61,62.8,61.2,54.8,48.3,39,32.6,29.1,25.1,22.6,19.6,16.9,337,291,[9][10],Star Alliance,AIRE
7,Russia,Aeroflot Group,4.22,55.71,50.13,43.4,39.4,34.7,31.4,27.5,16.4,14.1,11.1,11.6,10.2,8.7,364,189,[11],SkyTeam,
8,Norway,Norwegian Air ,5.15,37.34,33.15,29.3,25.8,24,20.7,17.7,15.7,13,10.8,9.1,6.9,5.1,152,130,[12],,A4E
9,Hungary  ,Wizz Air,5.12,33.81,28.27,22.78,19.2,15.8,13.5,12,11.2,9.6,7.8,5.8,4.2,3,100,144,[13],,
10,Sweden,Scandinavian Airlines,3.86,30,28.37,29.4,27.1,27.3,25.4,25.4,24.7,23.1,22.8,27,27.2,26.9,156,157,[14],Star Alliance,
11,Turkey,Pegasus Airlines,4.37,29.97,27.82,24.14,22.3,19.7,16.8,13.6,11.3,8.6,5.9,4.4,-,3.1,79,102,[15],,
12,Italy,Alitalia,,21.49,21.7,22.6,23,23.2,24,24.3,25,23.4,22,18,24.4,24.1,103,123,[16],SkyTeam,
13,Russia,S7 Group,1.17,15.96,14.25,13.15,10.6,10.1,9.3,8.3,5.1,4.8,5.6,5.9,5.7,4.9,74,104,[17],oneworld,
14,Portugal,TAP Air Portugal,,15.89,14.27,11.72,11.3,11.4,10.7,10.2,9.8,9.1,8.4,8.7,7.9,6.9,87,88,[18],Star Alliance,A4E
15,Greece,Aegean Airlines,,10.83,13.22,12.46,11.6,10.2,8.8,8.9,9.9,10.1,10.2,11.3,11.1,10.1,59,103,[19],Star Alliance,A4E
16,Finland,Finnair,2,13.28,11.9,10.87,10.2,9.6,9.3,8.8,8,7.1,7.4,8.3,8.7,8.8,73,103,[20],oneworld,A4E
17,Spain,Air Europa,,,10.6,10.6,10.2,8.1,9,8.1,8.7,8.9,9,9.7,9.9,8.1,59,42,[21],SkyTeam,
18,United Kingdom,Jet2.com,,,9.64,6.67,5.85,6,5.5,4.8,4.2,3.3,3.1,3.4,3.9,2.8,60,50,[22],,A4E
19,United Kingdom,Flybe,,,9.05,8.4,,7.7,7.5,7.6,7.2,7.2,7.3,6.8,7,5.2,76,77,[23],,ERA
20,Russia,Ural Airlines,0.6,9,8,6.47,5.4,5.1,4.4,3.5,2.5,1.8,1.5,1.5,1.2,1,42,66,[24],n/a,
21,Poland  ,LOT Polish Airlines,,,8.56,6.89,5.58,6.1,5.9,6.3,5.8,5.5,5,4,4.3,3.7,80,111,[25][26],Star Alliance,AIREERA
22,Czech Republic,SmartWings Group ,,8.8,8.17,7.3,,6.57,-,-,-,-,-,-,-,-,57,?,[27][28],n/a,
23,Ukraine,Ukraine International Airlines,,8.08,6.93,6,4.8,3.8,4.5,2.8,1.9,1.7,0.8,1.7,0.3,-,42,80,[29][2],-,AIRE
24,Russia,UTair Aviation,0.6,7.65,7.3,6.65,8.8,11.2,10.4,7.8,5.8,5.2,3.9,3.2,2.9,2.4,66,117,[30],-,
25,United Kingdom,Virgin Atlantic,,,5.2,5.2,5.94,6.2,5.5,5.4,5.3,5.3,5.7,5.7,5.1,4.6,40,37,[31],-,
26,Romania,Blue Air,,,5.06,3.59,2.02,1.36,1.9,1.8,1.6,1.5,1.5,1.4,1.3,1.2,29,104,[32],n/a,
27,Spain,Volotea,,6.57,4.82,4.3,,,1.8,1.4,-,-,-,-,-,-,23,60,[33],A4E,
28,Russia,Nordwind Airlines,0.31,4.92,3.55,1.79,2.67,4.47,3.66,2.17,1.72,1.19,-,-,-,-,26,97,[34],n/a,
29,Russia,Azur Air,0.28,4.24,3.75,2.34,2.35,0.21,-,-,-,-,-,-,-,-,27,,,,
30,Iceland,Icelandair ,,4.14,4.05,3.67,3,2.9,2.6,2.4,1.8,1.7,1.8,1.5,1.6,1.5,28,36,[35],n/a,A4E
31,Latvia,AirBaltic,,4.14,3.52,2.89,2.6,2.8,2.9,3.1,3.4,3.2,2.8,-,2,1.4,32,60,[36],n/a,A4E
32,Belarus,Belavia,,,3,2.49,,-,1.6,1.3,1,-,0.7,-,-,-,29,48,[37],n/a,
33,Iceland,WOW Air,,3.5,2.8,1.6,0.7,0.49,0.4,0.09,-,-,-,-,-,-,17,38,[38],n/a,-
34,Serbia,Air Serbia,,,2.61,2.62,2.55,2.3,-,1.3,1.2,1,1,1.3,1.3,1.2,22,41,[39][40][41],EtihadAirwaysPartners,
35,Russia,Red Wings Airlines,0.18,2.62,1.62,0.92,1.04,0.92,0.35,0.82,0.78,0.88,-,-,-,-,18,20,,n/a,
36,Romania,Tarom,,,2.4,2.4,2.4,2.2,2.1,2.2,2.2,2.2,1.7,2,1.9,1.5,25,50,[42],SkyTeam,
37,Azerbaijan,Azerbaijan Airlines,,0.47,2.29,,,-,-,-,1.4,1,-,-,-,-,28,22,[43],n/a,
38,Croatia,Croatia Airlines,,2.17,2.125,1.94,1.8,1.8,1.8,2,1.9,1.6,1.8,1.7,1.5,-,13,40,[44][45][46],Star Alliance,AIRE
39,Italy,Air Italy,,,,2.63,,-,-,3.7,4.4,4.5,1.6,2,1.9,1.5,22,40,[47],n/a,
40,Russia,Pegas Fly,0.17,2.02,1.38,0.99,1.08,1.24,0.28,-,-,-,-,-,-,-,10,29,,n/a,
41,Luxembourg,Luxair,,,1.93,1.84,1.81,1.68,1.5,1.4,1.3,1.2,1.2,1.2,1.2,-,17,59,[48],n/a,A4E
42,Russia,Yamal Airlines,0.1,1.97,1.79,1.45,1.43,1.45,1.3,0.91,0.57,0.5,-,-,-,-,36,38,,n/a,
43,Malta,Air Malta,,,,,,-,-,1.7,1.8,-,-,-,-,-,8,37,[49],n/a,
44,Russia,Royal Flight,0.11,1.73,1.5,0.99,0.87,0.62,-,-,-,-,-,-,-,-,11,13,,n/a,
45,Russia,NordStar,0.09,1.42,1.4,1.29,1.13,1.1,1.24,1.16,0.77,0.54,-,-,-,-,15,50,,n/a,
46,Bulgaria,Bulgaria Air,,1.3,1.28,1.25,1.28,1.4,-,-,-,-,-,1.2,1.12,-,12,21,[50],n/a,
47,Slovenia,Adria Airways,,,1.2,1.1,1.24,1.1,1,1,1.2,-,-,-,-,-,12,23,[51],Star Alliance,AIRE
48,Russia,Nordavia,0.09,1.19,1.09,0.96,0.728,0.763,0.765,0.814,1.47,1.4,-,-,-,-,10,30,[52],n/a,
49,Russia,I-Fly,,1.13,0.75,0.4,0.61,0.97,1.05,0.63,0.41,0.38,-,-,-,-,10,30,[53],n/a,
50,Poland,Enter Air,,1.12,1.17,1.11,1.17,-,-,-,-,-,1.2,-,-,19,74,n/a,n/a,,
51,Greece,Ellinair,,1.04,0.79,0.57,0.31,0.14,-,-,-,-,-,-,-,-,10,30,[54],,
